City,Cloudiness,Country,Date,Humidity,Lat,Max Temp,Wind Speed,lng
swan hill,0,AU,1552755774,85,-35.34,60.32,8.21,143.56
xingcheng,0,CN,1552755774,64,40.62,28.5,5.41,120.71
morondava,56,MG,1552755774,98,-20.3,79.94,5.53,44.28
katangli,0,RU,1552755774,88,51.71,20.99,7.65,143.23
tacoaleche,75,MX,1552751340,55,22.82,60.8,23.04,-102.4
taltal,0,CL,1552755775,66,-25.41,71.52,2.95,-70.49
dunedin,64,NZ,1552755579,95,-45.87,55.0,4.0,170.5
deputatskiy,8,RU,1552755775,0,69.3,-32.75,2.73,139.9
lovozero,76,RU,1552755775,76,68.01,24.45,3.62,35.02
sao gabriel da cachoeira,90,BR,1552752000,94,-0.13,75.2,1.12,-67.09
tutoia,40,BR,1552752000,44,-2.76,93.2,10.29,-42.27
bandarbeyla,92,SO,1552755639,100,9.49,78.63,10.11,50.81
faanui,12,PF,1552755776,100,-16.48,83.22,7.2,-151.75
sovetskiy,80,RU,1552755776,93,56.76,24.41,13.13,48.47
dicabisagan,100,PH,1552755777,100,17.08,70.76,3.18,122.42
hede,48,SE,1552755727,92,60.45,33.01,5.82,15.49
thompson,75,CA,1552752000,61,55.74,12.2,4.7,-97.86
morro agudo,75,BR,1552752000,58,-20.73,86.0,4.7,-48.05
saint-michel-des-saints,80,CA,1552755659,58,46.68,24.45,12.24,-73.92
chokurdakh,76,RU,1552755778,73,70.62,-10.88,4.41,147.9
grindavik,75,IS,1552753800,74,63.84,39.2,6.93,-22.43
ribeira grande,40,PT,1552753800,88,38.52,64.4,12.75,-28.7
jizan,0,SA,1552752000,66,16.89,84.2,5.82,42.56
narsaq,75,GL,1552751400,45,60.91,24.8,3.36,-46.05
sorland,76,NO,1552755778,100,67.67,35.39,10.78,12.69
port macquarie,90,AU,1552755604,88,-31.43,66.2,8.05,152.91
nipawin,1,CA,1552752000,74,53.36,30.2,13.87,-104.02
barrow,76,AR,1552755779,95,-38.31,69.5,12.68,-60.23
ikeda,0,JP,1552755722,75,34.82,46.4,4.7,135.43
isangel,36,VU,1552755780,100,-19.55,79.31,14.7,169.27
suntar,88,RU,1552755781,86,62.16,19.77,6.76,117.65
kisangani,0,CD,1552755781,84,0.52,79.62,2.84,25.21
sao jose da coroa grande,0,BR,1552755781,66,-8.9,87.41,9.55,-35.15
kirovskiy,56,RU,1552755781,65,45.09,10.46,2.28,133.51
jega,8,NG,1552755781,21,12.22,92.63,7.43,4.38
haimen,0,CN,1552755775,55,31.87,55.99,2.51,121.18
airai,80,TL,1552755782,93,-8.93,69.41,0.83,125.41
uglovskoye,76,RU,1552755782,85,51.36,22.65,8.32,80.19
anshun,92,CN,1552755664,98,26.25,49.07,3.18,105.93
college,1,US,1552755607,72,64.86,37.99,5.82,-147.8
letnyaya stavka,92,RU,1552755783,94,45.43,46.1,9.22,43.44
kloulklubed,75,PW,1552751460,94,7.04,77.0,4.7,134.26
bentley,20,CA,1552752000,92,52.47,14.0,6.93,-114.05
acajutla,8,SV,1552755506,44,13.59,90.87,5.19,-89.83
flinders,40,AU,1552755732,88,-34.58,72.0,8.05,150.85
nishihara,20,JP,1552755757,64,35.74,48.0,3.36,139.53
katsuura,40,JP,1552755070,81,33.93,42.8,3.36,134.5
pativilca,8,PE,1552755784,97,-10.7,73.37,10.0,-77.78
ahuimanu,1,US,1552755669,88,21.44,68.0,0.94,-157.84
iralaya,40,HN,1552752000,66,15.0,86.0,8.05,-83.23
bambous virieux,40,MU,1552755547,74,-20.34,82.4,1.12,57.76
natal,40,BR,1552752000,58,-5.81,87.8,12.75,-35.21
bonavista,92,CA,1552755664,87,48.65,43.0,18.01,-53.11
severo-kurilsk,32,RU,1552755786,100,50.68,23.51,3.74,156.12
salalah,20,OM,1552751400,74,17.01,78.8,4.7,54.1
alofi,100,NU,1552752000,94,-19.06,71.6,1.12,-169.92
flin flon,40,CA,1552752000,67,54.77,23.0,4.41,-101.88
marzuq,8,YE,1552755787,63,14.4,64.37,3.29,46.47
isla mujeres,40,MX,1552755195,69,21.23,84.0,8.05,-86.73
chapeltown,75,GB,1552755783,93,53.64,52.0,13.87,-2.41
kuloy,88,RU,1552755787,89,61.03,26.21,10.33,42.49
sisimiut,20,GL,1552755788,79,66.94,3.35,3.06,-53.67
pisco,0,PE,1552752000,30,-13.71,71.6,9.17,-76.2
itoman,0,JP,1552752000,51,26.12,62.6,4.7,127.67
oksfjord,44,NO,1552753200,92,70.24,28.4,27.51,22.35
tuktoyaktuk,20,CA,1552752000,76,69.44,-11.21,4.7,-133.03
santa cruz,1,US,1552755662,50,36.97,60.01,3.36,-122.03
seoni,36,IN,1552755614,59,22.09,67.2,5.08,79.55
ilulissat,40,GL,1552751400,60,69.22,5.0,14.99,-51.1
nizhniy tsasuchey,0,RU,1552755793,74,50.52,25.4,9.22,115.13
san francisco,1,US,1552755604,87,37.78,57.0,1.39,-122.42
bubaque,0,GW,1552755794,67,11.28,88.94,8.88,-15.83
ciudad bolivar,0,VE,1552755795,35,8.12,96.23,14.14,-63.55
kropotkin,76,RU,1552755617,10,45.43,46.0,5.75,40.58
nokaneng,0,BW,1552755795,34,-19.66,82.95,8.77,22.19
vallenar,0,CL,1552755795,65,-28.58,72.6,2.73,-70.76
buraydah,40,SA,1552752000,19,26.33,78.8,11.41,43.97
srandakan,100,ID,1552755592,100,-7.94,72.33,3.62,110.25
grand gaube,40,MU,1552755547,74,-20.01,82.4,1.12,57.66
fort nelson,75,CA,1552752000,67,58.81,21.2,2.24,-122.69
santa fe,0,AR,1552755643,78,-31.62,75.99,1.99,-60.7
marawi,20,PH,1552755707,86,8.0,75.99,3.0,124.29
roros,68,NO,1552753200,68,62.57,28.4,4.7,11.38
rocha,100,UY,1552755797,95,-34.48,70.67,13.8,-54.34
pangnirtung,75,CA,1552752000,49,66.15,3.2,5.82,-65.72
hutchinson,20,US,1552755515,42,38.06,53.01,16.11,-97.93
tiffin,90,US,1552755762,55,41.11,39.99,10.29,-83.18
san quintin,92,PH,1552755798,90,17.54,70.4,3.29,120.52
clyde river,75,CA,1552752000,74,70.47,-22.01,2.24,-68.59
dalbandin,24,PK,1552755661,44,28.9,57.35,3.96,64.41
ahipara,92,NZ,1552755249,100,-35.17,62.01,4.74,173.16
jalu,0,LY,1552755799,47,29.03,61.31,4.41,21.55
pattao,92,PH,1552755799,99,18.25,70.94,3.4,121.82
longyearbyen,20,NO,1552753200,54,78.22,1.4,17.22,15.63
sharlyk,80,RU,1552755800,88,52.93,22.65,9.55,54.74
winnemucca,1,US,1552755661,47,40.97,42.01,8.05,-117.74
mount isa,12,AU,1552753800,19,-20.73,75.2,10.29,139.49
tautira,75,PF,1552755798,94,-17.73,77.0,6.93,-149.15
haines junction,88,CA,1552755801,80,60.75,32.06,5.41,-137.51
kostomuksha,32,RU,1552755801,86,64.59,31.43,5.97,30.6
vila do maio,0,CV,1552752000,16,15.13,86.0,21.92,-23.22
makakilo city,1,US,1552755669,82,21.35,68.0,4.7,-158.09
tateyama,0,JP,1552755739,76,36.66,36.0,3.18,137.31
ko samui,0,TH,1552755802,100,9.54,83.4,9.89,99.94
eureka,20,US,1552755679,100,40.8,55.0,4.63,-124.16
sebinkarahisar,76,TR,1552755802,94,40.29,32.69,1.95,38.42
ourossogui,0,SN,1552755802,11,15.61,98.25,5.64,-13.32
biograd na moru,0,HR,1552755618,71,43.94,57.99,11.41,15.45
awjilah,0,LY,1552755803,50,29.14,61.35,3.06,21.3
svodin,0,SK,1552755784,93,47.91,48.0,4.63,18.5
dali,0,CN,1552755803,72,25.6,53.7,4.74,100.24
hasaki,75,JP,1552754975,93,35.73,39.99,1.12,140.83
vangaindrano,0,MG,1552755804,88,-23.35,71.7,2.95,47.6
jasdan,0,IN,1552755728,19,22.04,84.0,10.67,71.2
verkhoyansk,0,RU,1552755804,0,67.55,-30.63,2.39,133.39
sterling,1,US,1552755742,39,39.0,53.01,19.46,-77.4
emerald,90,AU,1552755285,94,-23.53,73.4,2.24,148.16
kruisfontein,0,ZA,1552755805,78,-34.0,70.31,14.47,24.73
pathum thani,20,TH,1552755750,83,14.02,82.4,3.4,100.53
wahpeton,1,US,1552755436,92,46.27,18.0,3.36,-96.61
kodiak,1,US,1552755536,28,39.95,53.01,11.41,-94.76
mayo,90,CA,1552752000,58,63.59,26.6,6.93,-135.9
pitimbu,75,BR,1552752000,58,-7.47,87.8,10.29,-34.81
neiafu,40,TO,1552752000,100,-18.65,73.4,8.88,-173.98
namibe,8,AO,1552755806,96,-15.19,79.98,8.66,12.15
guia de isora,20,ES,1552755688,64,28.21,73.0,13.87,-16.78
lompoc,1,US,1552755638,50,34.64,66.99,5.82,-120.46
ningbo,0,CN,1552752000,76,29.88,55.4,4.47,121.54
redmond,75,US,1552755584,70,47.67,48.0,3.36,-122.12
vostok,12,RU,1552755807,54,46.45,5.51,2.39,135.83
arlit,0,NE,1552755807,47,18.74,79.98,3.96,7.39
east london,75,ZA,1552752000,88,-33.02,77.0,12.75,27.91
abha,40,SA,1552752000,77,18.22,64.4,10.29,42.5
vila velha,90,BR,1552755493,88,-3.71,79.0,9.17,-38.6
saint stephen,1,US,1552755770,63,45.7,30.0,4.63,-94.27
kokoda,100,PG,1552755808,97,-8.88,62.7,0.6,147.74
mobile,90,US,1552755792,50,30.69,54.0,14.99,-88.04
waipawa,88,NZ,1552754356,91,-39.94,60.01,4.07,176.59
ixtapa,75,MX,1552755639,73,20.71,75.2,2.84,-105.21
landeck,75,AT,1552755746,63,47.14,59.0,4.7,10.57
umm lajj,0,SA,1552755810,88,25.02,65.58,14.92,37.27
ardesen,90,TR,1552753800,93,41.19,48.2,5.82,40.99
goderich,48,CA,1552755740,77,43.74,33.01,10.0,-81.71
san isidro,80,PH,1552755813,97,16.74,70.35,2.39,121.63
carbonia,0,IT,1552755612,48,39.17,62.6,14.99,8.53
waitati,64,NZ,1552755579,95,-45.75,55.0,4.0,170.57
ipixuna,75,BR,1552754100,88,-1.76,80.6,9.17,-48.8
lata,88,IN,1552755814,66,30.78,40.34,2.51,78.62
freeport,40,BS,1552752000,65,26.54,80.6,4.7,-78.7
tasiilaq,75,GL,1552751400,78,65.61,17.6,1.12,-37.64
prainha,8,BR,1552755815,73,-1.8,86.1,3.18,-53.48
peniche,0,PT,1552755725,45,39.36,69.01,10.29,-9.38
boundiali,12,CI,1552755815,18,9.53,98.07,8.77,-6.48
la libertad,40,PE,1552752000,52,-16.38,68.0,5.82,-71.56
hurbanovo,0,SK,1552755738,93,47.88,46.99,8.43,18.2
kenai,90,US,1552755668,74,60.55,37.4,24.16,-151.26
kedrovyy,40,RU,1552753800,86,56.17,33.8,11.18,91.82
ust-nera,0,RU,1552755817,0,64.57,-32.57,2.28,143.24
harrisburg,75,US,1552755712,45,40.27,46.99,18.34,-76.89
bitung,20,ID,1552753800,100,1.44,73.4,2.24,125.19
tungor,12,RU,1552755818,73,53.39,10.19,3.4,142.95
arani,20,IN,1552753800,70,13.33,84.2,6.93,80.08
kudamatsu,20,JP,1552755734,75,34.04,42.8,4.7,131.89
rio grande,75,BR,1552752000,74,-32.03,80.6,17.22,-52.1
nizwa,0,OM,1552755742,68,22.93,60.95,4.74,57.53
novyy urengoy,8,RU,1552755553,67,66.08,-4.8,10.78,76.63
lixourion,0,GR,1552755667,77,38.2,60.8,5.82,20.43
oranjemund,56,ZA,1552755819,93,-28.55,64.91,2.62,16.43
kananga,56,CD,1552755819,95,-5.9,72.56,2.51,22.41
maltahohe,64,NA,1552755819,35,-24.83,80.03,3.85,16.98
san cristobal,20,EC,1552755704,43,-0.39,71.6,3.36,-78.55
hit,92,IQ,1552755820,84,33.64,54.11,17.16,42.83
bouna,44,CI,1552755820,45,9.27,91.37,5.41,-3.0
havelock,75,US,1552755761,41,34.88,60.01,13.87,-76.9
palmer,0,AU,1552755726,67,-34.85,70.0,6.87,139.16
nenjiang,0,CN,1552755821,55,49.17,18.2,8.66,125.23
amga,0,RU,1552755821,61,60.89,-8.36,2.51,131.98
great yarmouth,75,GB,1552755457,66,52.61,54.0,24.16,1.73
santa isabel,40,CO,1552752000,69,4.71,82.4,6.93,-75.1
abilene,1,US,1552755742,32,32.45,54.0,6.93,-99.73
kavaratti,0,IN,1552755825,100,10.57,82.95,7.65,72.64
pandan,0,PH,1552755826,97,11.72,80.57,17.72,122.09
riyadh,40,SA,1552752000,27,24.63,77.0,9.17,46.72
kenora,1,CA,1552755778,78,49.76,15.8,5.82,-94.48
turbat,0,PK,1552755827,46,26.0,59.51,1.39,63.05
adiake,40,CI,1552753800,70,5.29,89.6,11.41,-3.3
basarabi,44,RO,1552755827,48,44.01,54.47,10.22,23.01
necochea,88,AR,1552755491,72,-38.55,78.01,8.99,-58.74
imbituba,40,BR,1552752000,69,-28.24,82.4,10.29,-48.67
pundaguitan,76,PH,1552755827,100,6.37,78.95,8.1,126.17
bemidji,1,US,1552755728,62,47.48,28.0,4.7,-94.89
sao felix do xingu,12,BR,1552755652,77,-6.64,84.48,2.73,-51.99
wasilla,1,US,1552755721,51,61.58,39.2,10.29,-149.44
fenyi,56,CN,1552755828,83,27.82,50.28,0.83,114.69
cidreira,24,BR,1552755828,76,-30.17,79.62,15.48,-50.22
windsor,75,US,1552755762,51,42.3,39.0,17.22,-83.03
denpasar,40,ID,1552753800,100,-8.65,75.2,5.82,115.22
bosconia,8,CO,1552755830,62,9.97,88.62,2.17,-73.89
puro,44,PH,1552755830,88,13.13,74.58,5.64,123.76
porto velho,75,BR,1552752000,88,-8.75,82.4,3.36,-63.87
komsomolskiy,56,RU,1552755831,60,67.55,4.61,9.78,63.78
labuhan,68,ID,1552755831,93,-2.54,72.87,2.17,115.51
mezen,88,RU,1552755831,83,65.85,32.28,7.99,44.24
maldonado,40,UY,1552752000,88,-34.91,73.4,11.41,-54.96
tamandare,32,BR,1552755831,64,-8.28,89.39,3.74,-70.75
esperance,40,TT,1552755307,66,10.24,88.0,14.99,-61.45
manoel urbano,48,BR,1552755832,68,-8.84,88.4,2.95,-69.26
kavieng,12,PG,1552755832,100,-2.57,82.05,4.97,150.8
presidencia roque saenz pena,100,AR,1552755832,100,-26.79,70.98,12.01,-60.44
syracuse,90,US,1552755816,60,43.05,37.99,18.34,-76.15
sistranda,20,NO,1552755301,59,63.73,39.0,6.93,8.83
mahanoro,24,MG,1552755833,92,-19.9,73.32,2.95,48.8
chara,40,GR,1552755000,51,39.42,62.6,6.42,22.43
teguise,20,ES,1552753800,69,29.06,73.4,6.93,-13.56
shelburne,90,CA,1552755720,66,44.08,32.0,21.92,-80.2
ures,0,MX,1552755795,54,30.73,66.99,3.0,-112.95
aswan,0,EG,1552752000,18,24.09,73.4,12.75,32.9
tulum,40,MX,1552755632,66,20.21,84.2,8.05,-87.46
santo angelo,88,BR,1552755747,78,-28.3,81.56,9.89,-54.26
pottsville,90,US,1552755825,38,40.69,48.2,14.99,-76.2
keti bandar,0,PK,1552755835,85,24.14,75.57,10.33,67.45
gizo,40,IL,1552755810,67,31.8,60.8,14.99,34.94
wajid,0,SO,1552755835,25,3.81,86.24,11.12,43.25
zhanaozen,64,KZ,1552755835,68,43.35,48.12,6.76,52.85
kindu,8,CD,1552755836,83,-2.95,75.17,2.62,25.92
fairlie,1,US,1552755805,32,33.31,55.99,6.93,-95.96
iwaki,0,JP,1552755643,71,37.05,32.0,1.01,140.89
zhizdra,92,RU,1552755836,91,53.75,34.8,15.7,34.74
cap malheureux,40,MU,1552755547,74,-19.98,82.4,1.12,57.61
caravelas,12,BR,1552755837,100,-17.73,83.58,17.38,-39.27
hualmay,0,PE,1552755837,75,-11.1,77.73,5.41,-77.61
laguna,75,MX,1552750980,63,27.52,62.6,3.4,-110.01
tatarka,76,BY,1552755837,93,53.25,37.46,6.53,28.82
la asuncion,80,EC,1552755838,89,-1.64,56.0,2.17,-78.74
portland,75,US,1552755545,70,45.52,48.0,3.36,-122.67
kaitangata,8,NZ,1552755838,76,-46.28,43.22,3.62,169.85
tupik,0,RU,1552755838,74,54.43,17.7,5.64,119.94
canhotinho,0,BR,1552755839,48,-8.88,88.04,9.33,-36.2
vardo,20,US,1552755820,34,39.62,51.01,19.46,-77.74
lithgow,75,AU,1552755791,100,-33.48,66.2,8.05,150.16
great falls,1,US,1552755811,85,47.5,37.99,5.86,-111.29
carutapera,92,BR,1552755839,87,-1.2,81.47,6.98,-46.02
agarak,48,AM,1552755840,64,38.87,36.47,1.28,46.2
lodja,80,CD,1552755840,93,-3.52,72.65,1.28,23.6
adamovka,0,RU,1552755840,66,51.52,14.15,7.99,59.94
tondano,20,ID,1552753800,100,1.3,73.4,2.24,124.91
ravenna,0,IT,1552755839,45,44.42,68.0,16.11,12.2
fortuna,0,ES,1552755823,28,38.18,75.0,4.7,-1.13
